1,Steins;Gate,496
2,Attack on titan,473
3,Madoka Magica,351
4,Hunter × Hunter,288
5,Mob Psycho 100,261
6,Monogatari,242
7,Kaguya Sama: Love is War,227
8,Made in Abyss,219
9,Violet Evergarden,199
10,3-gatsu no Lion,196
11,Re Zero,190
12,Vinland Saga,185
13,A Place Further than the Universe,165
14,A Silent Voice,162
15,Your Name,160
16,JoJo's Bizarre Adventure,159
17,Fullmetal Alchemist: Brotherhood,156
18,Fate/Zero,149
19,Kill la Kill,145
20,Haikyuu,144
21,Ping Pong the Animation,131
22,Hibike Euphonium,126
23,KonoSuba,120
24,Chihayafuru,107
25,Hyouka,104
26,One Punch Man,99
27,Psycho Pass,94
28,The Tatami Galaxy,91
29,From the New World,89
30,Gintama,87
31,Rascal does not Dream of Bunny Girl Senpai,84
32,K-On,80
33,Your Lie In April,78
34,Shouwa Genroku Rakugo Shinjuu,76
35,My Teen Romantic Comedy Snafu,73
36,Fruits Basket,70
37,The Disastrous Life of Saiki-K,69
38,Nichijou,67
39,Assassination Classroom,67
40,Yuru Camp,66
41,Demon Slayer,64
42,Girls' Last Tour,63
43,The Disappearance of Haruhi Suzumiya,62
44,Non Non Biyori,59
45,Fate/Stay Night Unlimited Blade Works,57
46,Shirobako,56
47,Bloom Into You,53
48,Katanagatari,51
49,Land of the Lustrous,50
50,My Hero Academia,48
